FID,objectid,lad19cd,lad19nm,lad19nmw,bng_e,bng_n,long,lat,st_areasha,st_lengths,SHAPE_Length,SHAPE_Area
183,183,E07000166,Richmondshire, ,401039,495786,-1.98552,54.357609,1318707276.30363,221710.071604994,380325.171939855,-3878727757.74466
184,184,E07000167,Ryedale, ,475590,478890,-0.84277,54.200211,1506593776.95214,249894.293084833,426941.316337642,-4398554909.57576
185,185,E07000168,Scarborough, ,495798,495548,-0.52778,54.3465,816188420.859727,241939.745649524,414841.631328501,-2400800478.59431
186,186,E07000169,Selby, ,457551,426670,-1.12908,53.733269,599310809.432599,264869.301894176,448011.083500948,-1714753044.39535
187,187,E07000170,Ashfield, ,450035,355843,-1.25422,53.097469,109557941.106055,69174.8494196315,115115.462570461,-303436291.289513
188,188,E07000171,Bassetlaw, ,468073,384835,-0.9787,53.356041,637803646.209099,159734.777561221,267282.71906679,-1786225060.33025
189,189,E07000172,Broxtowe, ,449829,341893,-1.25944,52.972099,80098837.1288312,65999.8327992576,109560.180454941,-220658374.091902
190,190,E07000173,Gedling, ,459184,347811,-1.11907,53.024342,119981505.017305,69754.673763989,115910.284741886,-331311398.535922
191,191,E07000174,Mansfield, ,455047,363637,-1.17804,53.16703,76696898.5856726,51090.8571646527,85182.576326308,-213193863.73737
192,192,E07000175,Newark and Sherwood, ,470624,357451,-0.94643,53.1096,651340472.135511,187422.52389076,312131.580890098,-1806498036.06246
193,193,E07000176,Rushcliffe, ,466606,335453,-1.01097,52.912399,409231535.284401,123324.432735933,204321.109109164,-1123415196.92091
194,194,E07000177,Cherwell, ,449301,221201,-1.28506,51.887199,588741170.216274,225626.554294152,366036.128961564,-1549028847.31056
195,195,E07000178,Oxford, ,452277,206368,-1.24405,51.753571,45602912.6828515,34999.6552171434,56515.1295259234,-118904497.102269
196,196,E07000179,South Oxfordshire, ,463890,191964,-1.07847,51.622879,678521428.259039,205400.226544238,330836.63384431,-1759730096.75167
197,197,E07000180,Vale of White Horse, ,435693,195197,-1.48543,51.65443,578660264.122091,175977.202778797,283417.303797766,-1500876960.49101
198,198,E07000181,West Oxfordshire, ,434343,215816,-1.50292,51.839901,714422027.138744,160247.897555093,259311.02046286,-1869697332.21389
199,199,E07000187,Mendip, ,362238,144090,-2.54178,51.194759,739435423.569122,198850.077405151,317231.710418841,-1882195691.57465
200,200,E07000188,Sedgemoor, ,338429,143998,-2.88246,51.19186,564543642.859632,242134.287189551,386099.779804456,-1435489222.29513
201,201,E07000189,South Somerset, ,345633,120798,-2.77588,50.98399,959040237.320217,241317.05122489,383234.759917206,-2418669752.9425
202,202,E07000192,Cannock Chase, ,401261,311553,-1.98277,52.70166,78882570.493234,50127.6044538359,82702.0727101551,-214711151.06441
203,203,E07000193,East Staffordshire, ,412601,326569,-1.81438,52.83651,389987162.124039,183696.396809274,304248.636430628,-1068857516.56412
204,204,E07000194,Lichfield, ,416283,310967,-1.76049,52.696152,331294334.024327,127468.406693597,210195.126560294,-900751902.392734
205,205,E07000195,Newcastle-under-Lyme, ,378199,345174,-2.32631,53.003448,210957319.413958,108259.28664405,179775.202226412,-581640287.314682
206,206,E07000196,South Staffordshire, ,389625,311037,-2.15495,52.696918,407322253.357066,184894.339545129,304416.350827193,-1104324555.57218
207,207,E07000197,Stafford, ,389001,327836,-2.16475,52.847919,598172233.422378,159078.806627566,263277.959335554,-1638311095.36155
208,208,E07000198,Staffordshire Moorlands, ,400543,352443,-1.99334,53.069241,575849820.802265,152448.185289631,253589.025583851,-1594054041.29176
209,209,E07000199,Tamworth, ,421455,302550,-1.68451,52.620312,30850716.1908957,30730.062535896,50593.2790859069,-83644363.7748497
210,210,E07000200,Babergh, ,599987,244692,0.916149,52.064499,595116563.756272,210447.822242885,341779.444066289,-1570889048.81729
211,211,E07000202,Ipswich, ,617161,244456,1.166145,52.05592,39509794.6377267,45342.3418168405,73663.7943890028,-104288410.287158
212,212,E07000203,Mid Suffolk, ,611646,262338,1.096953,52.21859,871070645.727276,191154.673181992,311875.331703053,-2319052360.5742
213,213,E07000207,Elmbridge, ,511882,163658,-0.39441,51.360981,96334275.3882581,52206.1263724971,83557.0170131894,-246792167.590782
214,214,E07000208,Epsom and Ewell, ,521176,161475,-0.26172,51.339451,34079152.9616357,28503.7008598098,45615.1273432312,-87231503.5782163
215,215,E07000209,Guildford, ,500408,151481,-0.56257,51.253658,270931189.746301,128414.496364036,205066.207080249,-690836069.516026
216,216,E07000210,Mole Valley, ,518377,148953,-0.30603,51.227489,258320953.45333,105403.17883423,168189.251418693,-657614072.795695
217,217,E07000211,Reigate and Banstead, ,525786,152574,-0.19871,51.258461,129143925.112569,79923.6802028718,127619.777235617,-329327119.800792
218,218,E07000212,Runnymede, ,501777,166979,-0.53855,51.392731,78040686.184294,45677.4092821212,73171.9703347331,-200254615.153173
219,219,E07000213,Spelthorne, ,507012,169622,-0.46254,51.41552,51161362.5433996,44134.537597083,70742.3812935326,-131458005.807394
220,220,E07000214,Surrey Heath, ,491362,160483,-0.68986,51.336102,95092959.1736058,53559.724171352,85686.2617497475,-243484395.432327
221,221,E07000215,Tandridge, ,536365,150325,-0.04805,51.235809,248194569.367406,83136.9028111222,132718.039051971,-632155914.310361
222,222,E07000216,Waverley, ,496363,140635,-0.62343,51.15686,345170236.682501,125436.056342785,199902.86774123,-876439491.852783
223,223,E07000217,Woking, ,499087,157542,-0.57982,51.308369,63603603.8397674,54781.5015969527,87590.55450232,-162649896.264315
224,224,E07000218,North Warwickshire, ,425570,296399,-1.6242,52.564838,284261503.629141,113230.602690989,186129.004994018,-767946007.578111
225,225,E07000219,Nuneaton and Bedworth, ,435419,289352,-1.47965,52.500938,78950291.8162241,48148.709108183,79039.7802954692,-212835289.338742
226,226,E07000220,Rugby, ,446498,276244,-1.31828,52.382278,353557281.061627,115093.651913593,188457.502225033,-948111929.514458
227,227,E07000221,Stratford-on-Avon, ,425019,251536,-1.63565,52.161541,977869054.895261,261384.087125628,426071.257903741,-2598274337.62778
228,228,E07000222,Warwick, ,428484,267113,-1.58369,52.301418,282882321.016032,116717.479258945,190830.421202707,-756065793.674459
229,229,E07000223,Adur, ,518076,106472,-0.32417,50.845718,42065495.8655346,60515.7048534278,95773.1342600369,-105409663.797031
230,230,E07000224,Arun, ,495144,105723,-0.64999,50.843208,220991201.464094,156498.064172045,247720.785573559,-553753572.290695
231,231,E07000225,Chichester, ,490285,116600,-0.7163,50.941769,786194870.307894,297274.786304588,470932.964514152,-1978619419.50874
232,232,E07000226,Crawley, ,526390,137581,-0.19533,51.123569,44971204.9727055,38799.7232795775,61786.7149377196,-114045281.118226
233,233,E07000227,Horsham, ,513674,123840,-0.38126,51.00272,530278363.738596,215760.176955474,342503.207473175,-1337330872.24019
234,234,E07000228,Mid Sussex, ,533054,130623,-0.10272,51.059528,334029222.418471,132912.373445884,211182.488518108,-843277800.987362
235,235,E07000229,Worthing, ,512679,104948,-0.40127,50.833099,32521007.7957513,29462.1390440895,46619.7854651941,-81445301.6531261
236,236,E07000234,Bromsgrove, ,399840,273736,-2.00376,52.361691,216968481.075695,113135.446682068,185216.504298319,-581256668.378265
237,237,E07000235,Malvern Hills, ,377465,252197,-2.33089,52.16758,577070981.905189,230605.757150611,376124.261614177,-1533619116.64854
238,238,E07000236,Redditch, ,403705,265253,-1.9471,52.285412,54250912.0736285,41301.8190573029,67479.7936202075,-144820028.253644
